,title,summary,schedule,place,cost,image,link
0,[상시] 그리고-그리고,,2018.03.22~2018.12.31,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/03/201803150320092311299_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=05&edId=201803140001414
1,[상시] 상상의 방,,2018.03.22~2018.12.31,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/03/2018031503150644315118_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=05&edId=201803140001413
2,[상시] 손잡이의 여행,,2018.03.22~2018.12.31,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/03/2018031503141362211050_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=05&edId=201803140001412
3,[상시] 사물의 변신,,2018.03.22~2018.12.31,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/03/2018031503134654412043_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=05&edId=201803140001411
4,"[유아단체] 속닥속닥, 작품 이야기",,2018.09.12~2018.12.21,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/08/2018082409351664117872_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=01&edId=201808220001571
5,"[초등단체] 속닥속닥, 작품 이야기",,2018.09.11~2018.12.20,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/08/2018082409365970615798_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=01&edId=201808220001572
6,[가족] 아트카페 ‘일상’ (6~9세),,2018.09.01~2018.09.29,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/08/2018082409514857214814_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=02&edId=201808220001567
7,[어린이] 아트카페 ‘일상’ (10~13세),,2018.09.02~2018.09.30,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/08/2018082410015988318500_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=02&edId=201808220001568
8,[가족] 작품 앞 드로잉 (6~9세),,2018.09.02~2018.09.30,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/08/2018082409590230111210_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=02&edId=201808220001570
9,[가족] 작품 앞 드로잉 (10~13세),,2018.09.01~2018.09.29,국립현대미술관,,https://www.mmca.go.kr/upload/education/2018/08/2018082409564234517042_thumb.jpg,https://www.mmca.go.kr/learn/learnDetail.do?emBigCd=06&emSmlCd=02&edId=201808220001569
